Age,Gender,Tenure,MonthlyCharges,Contract,PaymentMethod,TotalCharges,Churn,Prediction,Segment
56,0,68,147.58,2,0,10052.03,0,0,Loyal
69,1,32,22.54,0,3,686.78,0,0,Loyal
46,0,10,52.47,1,2,537.88,0,0,Dormant
32,1,22,109.67,0,3,2390.04,1,1,At Risk
60,0,54,130.98,0,1,7081.28,0,0,Loyal
25,0,29,111.55,0,1,3167.13,1,1,At Risk
78,0,20,63.23,1,2,1307.22,0,0,Dormant
38,1,11,96.63,0,0,1093.32,1,1,At Risk
56,1,43,74.06,0,3,3230.58,1,0,Loyal
75,2,62,109.39,1,2,6799.64,0,0,Loyal
36,0,37,13.78,0,2,431.68,0,0,Loyal
40,0,69,93.99,0,3,6454.75,0,0,Loyal
28,1,18,69.8,0,2,1210.16,0,0,Dormant
28,0,17,121.38,0,3,2061.9,1,1,At Risk
41,1,53,95.98,0,3,5130.1,0,0,Loyal
70,1,17,50.15,0,1,919.96,1,1,At Risk
53,0,14,120.37,0,2,1712.28,1,1,At Risk
57,2,35,42.19,0,0,1564.41,0,0,Loyal
41,1,33,66.99,2,0,2210.85,0,0,Loyal
20,1,27,141.36,1,2,3920.94,0,0,Loyal
39,1,7,83.53,0,2,533.81,1,1,At Risk
70,0,25,54.75,2,2,1386.68,0,0,Loyal
19,0,71,137.43,0,0,9770.71,1,1,At Risk
41,1,48,33.4,0,3,1615.62,1,0,Loyal
61,0,24,122.46,0,1,2997.1,0,0,Dormant
47,1,19,35.69,1,1,607.2,0,0,Dormant
55,1,10,143.23,0,3,1386.31,1,1,At Risk
19,1,61,97.72,0,1,5961.34,0,0,Loyal
77,1,72,147.64,0,3,10585.5,1,1,At Risk
38,1,52,48.49,1,2,2501.87,0,0,Loyal
50,1,55,32.19,0,0,1787.38,0,0,Loyal
29,0,60,83.9,2,0,5113.09,0,0,Loyal
75,1,34,24.34,0,3,841.98,0,0,Loyal
39,1,70,106.56,0,2,7452.56,1,1,At Risk
78,1,32,75.74,1,3,2398.39,0,0,Loyal
61,1,64,21.56,0,1,1427.11,0,0,Loyal
42,1,47,134.74,0,0,6380.88,0,0,Loyal
66,1,32,88.35,0,0,2846.87,0,0,Loyal
44,2,54,60.69,0,0,3256.74,1,1,At Risk
76,0,8,147.66,0,1,1199.26,1,1,At Risk
80,0,21,147.2,0,1,3093.44,0,0,Dormant
59,0,64,91.25,1,3,5869.44,0,0,Loyal
